"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"H12_001N"," !!Total:"
"H12_002N"," !!Total:!!Owner occupied:"
"H12_003N"," !!Total:!!Owner occupied:!!1-person household"
"H12_004N"," !!Total:!!Owner occupied:!!2-person household"
"H12_005N"," !!Total:!!Owner occupied:!!3-person household"
"H12_006N"," !!Total:!!Owner occupied:!!4-person household"
"H12_007N"," !!Total:!!Owner occupied:!!5-person household"
"H12_008N"," !!Total:!!Owner occupied:!!6-person household"
"H12_009N"," !!Total:!!Owner occupied:!!7-or-more-person household"
"H12_010N"," !!Total:!!Renter occupied:"
"H12_011N"," !!Total:!!Renter occupied:!!1-person household"
"H12_012N"," !!Total:!!Renter occupied:!!2-person household"
"H12_013N"," !!Total:!!Renter occupied:!!3-person household"
"H12_014N"," !!Total:!!Renter occupied:!!4-person household"
"H12_015N"," !!Total:!!Renter occupied:!!5-person household"
"H12_016N"," !!Total:!!Renter occupied:!!6-person household"
"H12_017N"," !!Total:!!Renter occupied:!!7-or-more-person household"
